route_id,route2,type2,veh_size,carrier,routetype,feature,lim_up,lim_down,buslane,capacity,lot
7378,244,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,10
7648,245,bus,СК,"ООО ""Вест-Сервис""",ГП,КрСело,,минимум,,40,6
7627,246,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,6
7372,247,bus,БК,"ООО ""Вест-Сервис""",ГП,мега,частник,,,60,9
7371,248,bus,БК,"АО ""Третий парк""",город,мега,частник,,,60,2
7509,249,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,4
7510,250,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,2
7511,251,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,2
7426,252,bus,СК,"ООО ""Домтрансавто""",ГП,Пушкин,,минимум,,40,4
7516,253,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
7486,254,bus,СК,"ООО ""Вест-Сервис""",ГП,Пушкин,габарит,минимум,,40,8
7948,256,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,10
3076,258,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
7366,259,bus,СК,"АО ""Третий парк""",ГП,,,минимум,,40,2
7653,260,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,6
7640,261,bus,СК,"ООО ""Такси""",город,,габарит,минимум,,40,14
7639,262,bus,СК,"ООО ""Такси""",город,,,минимум,,40,13
8509,263,bus,БК,"АО ""Третий парк""",город,,частник,,,60,bonus
8267,264,bus,БК,"АО ""Третий парк""",город,,частник,,,60,2
7637,265,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,6
7466,267,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
7626,269,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,5
8407,270,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,4
7506,271,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
7512,272,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,4
1700,273,bus,БК,"ООО ""Вест-Сервис""",пригород,,частник,,,60,8
7373,275,bus,БК,"АО ""Третий парк""",город,,частник,,,60,2
1793,278,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,5
6428,279,bus,БК,"АО ""Третий парк""",город,,частник,,,60,2
8229,281,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,10
7367,282,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,10
7513,283,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,2
7638,284,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,6
8431,285,bus,СК,"АО ""Третий парк""",город,,габарит,минимум,,40,2
7377,286,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
6706,288,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
7636,290,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,5
8287,293,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,3
7514,294,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
7515,295,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
7650,297,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,6
7375,299,bus,СК,"ООО ""Вест-Сервис""",ГП,Пушкин,,минимум,,40,8
3155,300,bus,ОБК/БК,ПАТ,город,,,,,80,pat
3239,301,bus,БК,"ООО ""Домтрансавто""",ГП,КрСело,частник,,,60,4
